id,collection,dc.title[en_US],dc.contributor.author[en_US],dc.description.abstract[en_US],dc.publisher,dc.date.issued,dc.identifier.doi,dc.identifier.issn,dc.subject,dc.language,dc.type,dc.publisher.volume,dc.publisher.issue,dc.publisher.page,dc.identifier.uri
+,123456789/805,Development of Non-Alcoholic Fatty Liver Disease Scoring System Among Adult Medical Check-Up Patients: A Large Cross-Sectional and Prospective Validation Study,"Lesmana, Cosmas Rinaldi A||Pakasi, Levina S||Inggriani, Sri||Aidawati, Maria L||Lesmana, Laurentius A","BACKGROUND: Non-alcoholic fatty liver disease (NAFLD) is the most common liver disease in the community. However, NAFLD remains undiagnosed in most people with limited access to imaging facilities in most developing countries.||OBJECTIVE: To examine the prevalence of NAFLD and to develop the risk scoring model for predicting the presence of NAFLD among adult medical check-up patients.||METHOD: A large prospective cross-sectional study was conducted among medical check-up patients who underwent transabdominal ultrasound examination between January and December 2013 in Medistra Hospital, Jakarta. Data were obtained from the patients' medical records. Logistic regression analyses were undertaken to identify the best combination of risk factors for predicting fatty liver using the backward (likelihood ratio) approach. The adjusted odds ratio and 95% confidence interval were estimated using the logistic regression coefficient. The prediction model was assessed using the receiver operating characteristic curve and the Hosmer-Lemeshow goodness-of-fit test and was validated on a new, prospective cohort. Statistical analysis was done using SPSS version 17.||RESULTS: A total of 1,054 cases was included in this study. Fatty liver was present in 538 (51.0%) patients. Bivariate analyses found associations among fatty liver and several risk factors. Six risk factors were incorporated to build the final prediction model. All scores were summed up to obtain the total score. A probability equation was developed by applying linear regression analysis on the total score. The prediction model had good diagnostic performance with an area under the receiver operating characteristic curve =0.833 (95% confidence interval =0.809-0.857). The Hosmer-Lemeshow goodness-of-fit P-value was 0.232, which indicated the appropriateness of the logistic regression model to predict fatty liver. On the validation set, the scoring system proved to be moderately accurate and can potentially be applied to larger population setting.||CONCLUSION: The presence of fatty liver in NAFLD patients can be predicted using our proposed fatty liver scoring system.","Diabetes, Metabolic Syndrome and Obesity : Targets and Therapy",2015,10.2147/DMSO.S80364,1178-7007,Fatty Liver||Scoring Model||Ultrasound||Community||Developing Countries||Diagnostic Performance,en,Journal Article,8,,213-218,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4410820/#
+,123456789/805,"Development, Translation and Validation of Enhanced Asian Rome III Questionnaires for Diagnosis of Functional Bowel Diseases in Major Asian Languages: A Rome Foundation-Asian Neurogastroenterology and Motility Association Working Team Report","Syam, Ari Fahrial||Abdullah, Murdani||Ghoshal, Uday C||Gwee, Kok-Ann||Chen, Minhu||Gong, Xiao R||Pratap, Nitesh||Hou, Xiaohua||Bak, Young-Tae||Choi, Myung-Gyu||Gonlachanvit, Sutep||Chua, Andrew S B||Chong, Kuck-Meng||Siah, Kewin T H||Lu, Ching-Liang||Xiong, Lishou||Whitehead, William E","The functional gastrointestinal disorders (FGIDs) are comprised of a group of conditions that are currently defined by the presence of certain symptoms attributable to the gastrointestinal (GI) tract, in the absence of organic causes identifiable by routine investigations.1 To harmonize research in this field, a framework known as the Rome Criteria was developed to attempt classification of patients into diagnostic labels based putatively on the sites of the GI tract and the pathophysiological disturbances implicated.2",Journal of Neurogastroenterology and Motility,2015,10.5056/jnm14045,2093-0879,Asia||Gastrointestinal Diseases||Rome III Criteria||Translations||Validation,en,Journal Article,21,1,83-92,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4288097/
+,123456789/805,Environmental Risk Factors in Inflammatory Bowel Disease: A Population-Based Case-Control Study in Asia-Pacific," Simadibrata, Marcellus||Abdullah, Murdani||Ng, Siew C||Tang, Whitney||Leong, Rupert W||Chen, Minhu||Ko, Yanna||Studd, Corrie||Niewiadomski, Ola||Bell, Sally||Kamm, Michael A||Silva, H J de||Kasturiratne, Anuradhani||Senanayake, Yasith Udara||Ooi, Choon Jin||Ling, Khoon-Lin||Ong, David||Goh, Khean Lee||Hilmi, Ida||Ouyang, Qin||Wang, Yu-Fang||Hu, PinJin||Zhu, Zhenhua||Zeng, Zhirong||Wu, Kaichun||Wang, Xin||Xia, Bing||Li, Jin||Pisespongsa, Pises||Manatsathit, Sathaporn||Aniwan, Satimai||Tsang, Steve W C||Wong, Tai Chiu||Hui, Aric J||Chow, Chung Mo||Yu, Hon Ho||Li, Mo Fong||Ng, Ka Kei||Ching, Jessica||Wu, Justin C Y||Chan, Francis K L||Sung, Joseph J Y ","Objective: The rising incidence of inflammatory bowel disease in Asia supports the importance of environmental risk factors in disease aetiology. This prospective population-based case-control study in Asia-Pacific examined risk factors prior to patients developing IBD. Design 442 incident cases (186 Crohn’s disease (CD); 256 UC; 374 Asians) diagnosed between 2011 and 2013 from eight countries in Asia and Australia and 940 controls (frequency-matched by sex, age and geographical location; 789 Asians) completed an environmental factor questionnaire at diagnosis. Unconditional logistic regression models were used to estimate adjusted ORs (aOR) and 95% CIs.||Results: In multivariate model, being breast fed >12 months (aOR 0.10; 95% CI 0.04 to 0.30), antibiotic use (aOR 0.19; 0.07 to 0.52), having dogs (aOR 0.54; 0.35 to 0.83), daily tea consumption (aOR 0.62; 0.43 to 0.91) and daily physical activity (aOR 0.58; 0.35 to 0.96) decreased the odds for CD in Asians. In UC, being breast fed >12 months (aOR 0.16; 0.08 to 0.31), antibiotic use (aOR 0.48; 0.27 to 0.87), daily tea (aOR 0.63; 0.46 to 0.86) or coffee consumption (aOR 0.51; 0.36 to 0.72), presence of hot water tap (aOR 0.65; 0.46 to 0.91) and flush toilet in childhood (aOR 0.71; 0.51 to 0.98) were protective for UC development whereas ex-smoking (aOR 2.02; 1.22 to 3.35) increased the risk of UC.||Conclusions: This first population-based study of IBD risk factors in Asia-Pacific supports the importance of childhood immunological, hygiene and dietary factors in the development of IBD, suggesting that markers of altered intestinal microbiota may modulate risk of IBD later in life.",Gut BMJ,2015,10.1136/gutjnl-2014-307410,1468-3288,,en,Journal Article,64,7,1063-1071,https://gut.bmj.com/content/64/7/1063
+,123456789/805,Factors Associated with In-stent Restenosis in Patients Following Percutaneous Coronary Intervention,"Wihanda, Dedi||Alwi, Idrus||Yamin, Muhammad||Shatri, Hamzah||Mudjaddid, E ","AIM: to determine factors associated with In-Stent Restenosis (ISR) in patients following Percutaneous Coronary Intervention (PCI).||METHODS: a retrospective cross-sectional study was conducted using secondary information from medical records of post-PCI patients who underwent follow-up of angiography PCI between January 2009 and March 2014 at The Integrated Cardiovascular Service Unit, Cipto Mangunkusumo Hospital, Jakarta. Angiographic ISR was defined when the diameter of stenosis 50% at follow-up angiography including the diameter inside the stent and diameter with five-mm protrusion out of the proximal and distal ends of the stent.||RESULTS: there were 289 subjects including 133 subjects with and 156 subjects without ISR. The incidence of ISR in patients using of bare-metal stent (BMS) and drug-eluting stent (DES) were 61.3% and 40.7%, respectively. Factors associated with ISR are stent-type (OR=4.83, 95% CI 2.51-9.30), stent length (OR=3.71, 95% CI 1.99-6.90), bifurcation lesions (OR=2.43, 95% CI 1.16-5.10), smoking (OR=2.30, 95% CI 1.33-3.99), vascular diameter (OR=2.18, 95% CI 1.2-3.73), hypertension (OR=2.16, 95% CI 1.16-4.04) and diabetes mellitus (OR=2.14, 95% CI 1.23-3.70).||CONCLUSION: stent type, stent length, bifurcation lesions, smoking, vascular diameter, hypertension and DM are factors associated with ISR in patients following PCI.",Acta Medica Indonesiana,2015,,2338 - 2732,Bare-Metal Stent||Drug-Eluting Stent||In-Stent Restenosis,en,Journal Article,47,3,209-215,http://www.inaactamedica.org/archives/2015/26586386.pdf
+,123456789/805,"Funding Renal Replacement Therapy in Southeast Asia: Building Public-Private Partnerships in Singapore, Malaysia, Thailand, and Indonesia","Suhardjono||Morad, Zaki||Choong, Hui Lin||Tungsanga, Kriang","The provision of renal replacement therapy (RRT) in developing economies is limited by lack of financial and other resources. There are no national reimbursement policies for RRT in many countries in Asia. The Southeast Asia countries of Singapore, Malaysia, Thailand, and Indonesia have adopted a strategy of encouraging public-private partnerships to increase the RRT rates in their respective countries. The private organizations include both for-profit and philanthropic bodies. The latter raise funds from ordinary citizens, corporations, and faith-based groups, as well as receive subsidies from the government to support RRT for patients in need. The kidney foundations of these countries play a leadership role in this public-private partnership. Many of the private organizations that support RRT are providers of treatment in addition to offering financial assistance to patients, with hemodialysis being the most frequently supported modality. Public-private partnership in funding RRT is sustainable over the long term with proper organization and facilitated by support from the government.",American Journal of Kidney Diseases,2015,10.1053/j.ajkd.2014.09.031,0272-6386,End-Stage Renal Disease (ESRD)||Renal Replacement Therapy (RRT)||Health Care Funding||Health Care Disparities||Economic Incentives||Public-Private Partnership||Public Health||Non Governmental Organizations||Medical Charities||Southeast Asia||Singapore||Malaysia||Thailand||Indonesia,en,Journal Article,65,5,799-805,http://www.ajkd.org/article/S0272-6386%2815%2900085-2/pdf
+,123456789/805,Helicobacter Pylori Virulence Genes in the Five Largest Islands of Indonesia,"Syam, Ari Fahrial||Makmun, Dadang||Utari, Amanda Pitarini||Miftahussurur, Muhammad||Nusi, Iswan Abbas||Zein, Lukman Hakim||Zulkhairi||Akil, Fardah||Uswan, Willi Brodus||Simanjuntak, David||Uchida, Tomohisa||Adi, Pangestu||Rezkitha, Yudith Annisa Ayu||Subsomwong, Phawinee||Nasronudin||Yamaoka, Yoshio","BACKGROUND: It remains unclear whether the low incidence of gastric cancer in Indonesia is due to low infection rates only or is also related to low Helicobacter pylori pathogenicity. We collected H. pylori strains from the five largest islands in Indonesia and evaluated genetic virulence factors.||METHODS: The genotypes of H. pylori virulence factors were determined by polymerase chain reaction (PCR)-based sequencing. Histological severity of the gastric mucosa was classified into 4 grades, according to the updated Sydney system.||RESULTS: A total of 44 strains were analyzed. Forty-three (97.7 %) were cagA-positive: 26 (60.5 %) were East-Asian-type-cagA, 9 (20.9 %) were Western-type-cagA, and 8 (18.6 %) were novel ABB-type, most of which were obtained from Papuan. EPIYT sequences were more prevalent than EPIYA sequences (P = 0.01) in the EPIYA-B motif of all types of cagA. The majority of cagA-positive strains (48.8 %, 21/43) had a 6-bp deletion in the first pre-EPIYA region. Subjects infected with East-Asian-type-cagA strains with a 6-bp deletion had significantly lower inflammation and atrophy scores in the corpus than those infected with Western-type-cagA strains (both P = 0.02). In total, 70.4 % of strains possessed the vacA s1m1 genotype and 29.5 % were m2. All strains from peptic ulcer patients were of the iceA1 genotype, which occurred at a significantly higher proportion in peptic ulcer patients than that in gastritis patients (55.3 %, P = 0.04). The double positive genotype of jhp0562/β-(1,3)galT was predominant (28/44, 63.6 %), and subjects infected with this type had significantly higher inflammation scores in the corpus than those with the jhp0562 negative/β-(1,3)galT positive genotype (mean [median]; 1.43 [1] vs. 0.83 [1], P = 0.04). There were significant differences in cagA and pre-EPIYA cagA type, oipA status, and jhp0562/β-(1,3)galT type among different ethnic groups (P < 0.05).||CONCLUSIONS: In addition to a low H. pylori infection rate, the low incidence of gastric cancer in Indonesia might be attributed to less virulent genotypes in predominant strains, which are characterized by the East-Asian-type-cagA with a 6-bp deletion and EPIYT motif, a high proportion of m2, dupA negative or short type dupA, and the jhp0562/β-(1,3)galT double positive genotype.",Gut Pathogens,2015,10.1186/s13099-015-0072-2,1757-4749,Helicobacter Pylori||Indonesia||Virulence Factors,en,Journal Article,7,,26,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4594740/
+,123456789/805,"Diagnostic Test of a Scoring System for Frailty Syndrome in the Elderly According to Cardiovascular Health Study, Study of Osteoporotic Fracture and Comprehensive Geriatric Assessment Based Frailty Index Compared with Frailty Index 40 Items","Seto, Euphemia||Setiati, Siti||Laksmi, Purwita W.||Tamin, Tirza Z.","Aim: to get a recommendation on the best frailty syndrome diagnostic tools, that will be able to be practiced on a daily setting in Indonesia.||Methods: this is a cross-sectional study with diagnostic test approach, conducted to patients in the Geriatric Outpatient Clinic of Cipto Mangunkusumo National Referral Hospital on May-June 2013. Each subject underwent a frailty evaluation using CHS, SOF, FI-CGA and FI-40 scoring systems. Then, we calculate the sensitivity, specificity, PPV, NPV, LR+ and LR- of each scoring system compared to FI-40.||Results: the proportion of frail, pre-frail and fit according to FI-40 are 25.3%, 71% and 3.7% respectively. In terms of differentiation frail to non-frail, CHS had 41.2% sensitivity, 95% specificity, PPV 73.7%, NPV 82.7%, LR+ 8.41 and LR- 0.62. SOF scoring system had 17.6% sensitivity, 99.5% specificity, PPV 92.3%, NPV 78.1%, LR+ 35.2 and LR- 0.83. Furthermore FI-CGA had 8.8% sensitivity, 100% specificity, PPV 100%, NPV 76.4%, LR+ ∞ and LR- 0.91.||Conclusion: There is no better scoring system that could be implemented to screen for frailty syndrome other than FI-40 items. However, other scoring systems could be used as a good diagnostic tool for the syndrome.",Acta Medica Indonesiana,2015,,2338-2732,Elderly Patient|||Frailty Syndrome||CHS Index||SOF Index||FI-CGA||FI-40,en,Journal Article,47,3,183-187,http://www.inaactamedica.org/archives/2015/26586383.pdf
+,123456789/805||123456789/724,CD56⁺ Lymphocyte Counts Remain Low in the Livers of Human Immunodeficiency Virus/Hepatitis C Virus Patients Commencing ART,"Susufi, Yosephine G||Krisnuhoni, Ening||Gani, Rino A||Yunihastuti, Evy||Lee, Silvia||Price, Patricia",CD56⁺ lymphocyte counts remain low in the livers ofhuman immunodeficiency virus/hepatitis C viruspatients commencing ART,Pathology International,2015,10.1111/pin.12271,1320-5463,,en,Journal Article,65,6,335-337,https://onlinelibrary.wiley.com/doi/epdf/10.1111/pin.12271
+,123456789/842,Challenges and Solutions in Medically Managed ACS in the Asia-Pacific Region: Expert Recommendations from the Asia-Pacific ACS Medical Management Working Group,"Santoso, Anwar||Huo, Yong||Thompson, Peter||Buddhari, Wacin||Ge, Junbo||Harding, Scott||Ramanathan, Letchuman||Reyes, Eugenio||Tam, Li-Wah||Vijayaraghavan, Govindan||Yeh, Hung-I","Acute coronary syndromes (ACS) remain a leading cause of mortality and morbidity in the Asia-Pacific (APAC) region. International guidelines advocate invasive procedures in all but low-risk ACS patients; however, a high proportion of ACS patients in the APAC region receive solely medical management due to a combination of unique geographical, socioeconomic, and population-specific barriers. The APAC ACS Medical Management Working Group recently convened to discuss the ACS medical management landscape in the APAC region. Local and international ACS guidelines and the global and APAC clinical evidence-base for medical management of ACS were reviewed. Challenges in the provision of optimal care for these patients were identified and broadly categorized into issues related to (1) accessibility/systems of care, (2) risk stratification, (3) education, (4) optimization of pharmacotherapy, and (5) cost/affordability. While ACS guidelines clearly represent a valuable standard of care, the group concluded that these challenges can be best met by establishing cardiac networks and individual hospital models/clinical pathways taking into account local risk factors (including socioeconomic status), affordability and availability of pharmacotherapies/invasive facilities, and the nature of local healthcare systems. Potential solutions central to the optimization of ACS medical management in the APAC region are outlined with specific recommendations.",International Journal of Cardiology,2015,10.1016/j.ijcard.2014.11.195,0167-5273,Acute Coronary Syndromes||Asia-Pacific||Medical Management||Conservative||Myocardial Infarction,en,Journal Article,183,,63-75,https://www.sciencedirect.com/science/article/pii/S0167527314023766?via%3Dihub
+,123456789/842,A Novel Approach to Reduce Radial Artery Occlusion After Transradial Catheterization: Postprocedural/Prehemostasis Intra-Arterial Nitroglycerin,"Dharma, Surya||Kedev, Sasko||Patel, Tejas||Kiemeneij, Ferdinand||Gilchrist, Ian C ","Objective: To evaluate whether administration of nitroglycerin through the sheath at the end of a transradial procedure might preserve the patency of the radial artery.||Background: Despite the increasing acceptance of transradial approach, radial artery occlusion (RAO) continues to be a vexing problem of transradial access and limits utility of the radial artery as an access site in the future.||Methods: We conducted a multicenter, prospective, randomized, placebo-controlled, operator-blinded trial and enrolled 1,706 patients who underwent transradial catheterization in three experienced radial centers. Patients were randomized to receive either 500 μg nitroglycerin (n = 853) or placebo (n = 853), given intra-arterially through the sheath at the end of the radial procedure. The primary outcome was the incidence of RAO as confirmed by absence of antegrade flow at one day after the transradial procedure evaluated by duplex ultrasound of the radial artery.||Results: The use of nitroglycerin, as compared with placebo, reduced the risk of the primary outcome [8.3% vs. 11.7%; odds ratio, 0.62; 95% confidence interval (CI), 0.44-0.87; P = 0.006]. From a multivariable analysis, duration of hemostasis was a predictor of RAO (odds ratio, (odds ratio, 3.11; 95% CI, 1.66 to 5.82; P < 0.001). There were no significant differences between the groups with respect to the sheath size (P = 0.311), number of puncture attempts (P = 0.941), duration of hemostasis (P = 0.379) and procedural time (P = 0.095).||Conclusion: The administration of nitroglycerin at the end of a transradial catheterization, reduced the incidence of RAO, examined 1 day after the radial procedure by ultrasound. Postprocedural/prehemostasis pharmacologic regimens may represent a novel target for further investigation to reduce RAO.",Catheterization and Cardiovascular Interventions,2015,10.1002/ccd.25661,1522-1946,Nitroglycerin||Radial Artery Occlusion||Transradial Approach,en,Journal Article,85,5,818-825,https://www.ncbi.nlm.nih.gov/pubmed/25179153
+,123456789/842,Balloon-Assisted Tracking: A Solution to Severe Subclavian Tortuosity Encountered During Transradial Primary PCI,"Dharma, Surya||Gilchrist, Ian C||Patel, Tejas","Radial artery access is preferred over femoral access for primary percutaneous coronary intervention (PCI) in patients with acute ST-segment elevation myocardial infarction because of the reduction in access site complications and mortality associated with the radial artery access. Successful transradial primary PCI requires knowledge of techniques to handle unexpected severe subclavian artery tortuosity. Balloon-assisted tracking (BAT) is one technique developed to negotiate the tortuosity and loops in the upper extremity. However, the use of BAT in dealing with a severe subclavian loop during a transradial primary PCI procedure has never been reported. We described a case of transradial primary PCI with severe subclavian artery loop that was negotiated successfully by the BAT technique.",International Journal of Angiology,2016,10.1055/s-0035-1552981,1061-1711,Radial Artery Access||Balloon-Assisted Tracking||Subclavian Artery Loop||Primary PCI,en,Journal Article,25,2,134-136,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4870058/
+,123456789/842,Blood Leukocyte Count on Admission Predicts Cardiovascular Events in Patients with Acute Non-ST Elevation Myocardial Infarction,"Dharma, Surya||Hapsari, Rosmarini||Siswanto, Bambang B||Laarse, Arnoud van der||Jukema, J Wouter ","We aim to test the hypothesis that blood leukocyte count adds prognostic information in patients with acute non-ST-elevation myocardial infarction (non-STEMI). A total of 585 patients with acute non-STEMI (thrombolysis in myocardial infarction risk score ≥ 3) were enrolled in this cohort retrospective study. Blood leukocyte count was measured immediately after admission in the emergency department. The composite of death, reinfarction, urgent revascularization, and stroke during hospitalization were defined as the primary end point of the study. The mean age of the patients was 61 ± 9.6 years and most of them were male (79%). Using multivariate Cox regression analysis involving seven variables (history of smoking, hypertension, heart rate > 100 beats/minute, serum creatinine level > 1.5 mg/dL, blood leukocyte count > 11,000/µL, use of β-blocker, and use of angiotensin-converting enzyme inhibitor), leukocyte count > 11,000/µL demonstrated to be a strong predictor of the primary end point (hazard ratio = 3.028; 95% confidence interval = 1.69-5.40, p < 0.001). The high blood leukocyte count on admission is an independent predictor of cardiovascular events in patients with acute non-STEMI.",International Journal Of Angiology,2015,10.1055/s-0035-1544178,1061-1711,Leukocyte Count||Cute Non-STEMI||Predictor||Cardiovascular Event,en,Journal Article,24,2,127-132,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4452600/
+,123456789/842,Extracorporeal Shockwave Myocardial Therapy is Efficacious in Improving Symptoms in Patients with Refractory Angina Pectoris: A Multicenter Study,"Sukmawan, Renan||Prasad, Megha||Ahmad, Wan Azman Wan||Magsombol, Edward-Bengie L.||Cassar, Andrew||Vinshtok, Yuri||Ismail, Muhammad Dzafir||Zuhdi, Ahmad Syadi Mahmood||Locnen, Sue Ann||Jimenea, Rodney||Callleja, Homobono||Lermand, Amir","Objective: Medically refractory angina remains a significant health concern despite major advances in revascularization techniques and emerging medical therapies. We aimed to determine the safety and efficacy of extracorporeal shockwave myocardial therapy (ESMT) in managing angina pectoris.||Methods: A single- A rm multicenter prospective study was designed aiming to determine the safety and efficacy of ESMT. Patients of functional Canadian Cardiovascular Society class II-IV, despite stable and optimal medical management, with documented myocardial segments with reversible ischemia and/or hibernation on the basis of echocardiography/single-photon emission computerized tomography (SPECT) were enrolled from 2010 to 2012. A total of 111 patients were enrolled, 33 from Indonesia, 21 from Malaysia, and 57 from Philippines. Patients underwent nine cycles of ESMT over 9 weeks. Patients were followed up for 3-6 months after ESMT treatment. During follow-up, patients were subjected to clinical evaluation, the Seattle Angina Questionnaire, assessment of nitrate intake, the 6-min walk test, echocardiography, and SPECT.||Results: The mean age of the population was 62.9±10.9 years. The summed difference score on pharmacologically induced stress SPECT improved from 9.53±17.87 at baseline to 7.77±11.83 at follow-up (P=0.0086). Improvement in the total Seattle Angina Questionnaire score was seen in 83% of patients (P<0.0001). Sublingual nitroglycerin use significantly decreased (1.14±1.01 tablets per week at baseline to 0.52±0.68 tablets per week at follow-up; P=0.0215). There were no changes in left ventricular function on echocardiography (0.33±9.97, P=0.93). The Canadian Cardiovascular Society score improved in 74.1% of patients.||Conclusion: This multicenter prospective trial demonstrated that ESMT is both a safe and an efficacious means of managing medically refractory angina.",Coronary Artery Disease,2015,10.1097/MCA.0000000000000218,1473-5830,Angina Pectoris||Coronary Artery Disease||Extracorporeal Shockwave||Myocardial Revascularization,en,Journal Article,26,3,194-200,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6103643/
+,123456789/842,Heart Failure Care in Low-and Middle-Income Countries: A Systematic Review and Meta-Analysis,"Siswanto, Bambang B.||Callender, Thomas||Woodward, Mark||Roth, Gregory||Farzadfar, Farshad||Lemarie, Jean-Christophe||Gicquel, Stéphanie||Atherton, John||Rahimzadeh, Shadi||Ghaziani, Mehdi||Shaikh, Maaz||Bennett, Derrick||Patel, Anushka||Lam, Carolyn S. P.||Sliwa, Karen||Barretto, Antonio||Diaz, Alejandro||Herpin, Daniel||Krum, Henry||Eliasz, Thomas||Forbes, Anna||Kiszely, Alastair||Khosla, Rajit||Petrinic, Tatjana||Praveen, Devarsetty||Shrivastava, Roohi||Xin, Du||MacMahon, Stephen||McMurray, John||Rahimi, Kazem","Heart failure places a significant burden on patients and health systems in high-income countries. However, information about its burden in low- and middle-income countries (LMICs) is scant. We thus set out to review both published and unpublished information on the presentation, causes, management, and outcomes of heart failure in LMICs.||Methods and Findings: Medline, Embase, Global Health Database, and World Health Organization regional databases were searched for studies from LMICs published between 1 January 1995 and 30 March 2014. Additional unpublished data were requested from investigators and international heart failure experts. We identified 42 studies that provided relevant information on acute hospital care (25 LMICs; 232,550 patients) and 11 studies on the management of chronic heart failure in primary care or outpatient settings (14 LMICs; 5,358 patients). The mean age of patients studied ranged from 42 y in Cameroon and Ghana to 75 y in Argentina, and mean age in studies largely correlated with the human development index of the country in which they were conducted (r= 0.71, p,0.001). Overall, ischaemic heart disease was the main reported cause of heart failure in all regions except Africa and the Americas, where hypertension was predominant. Taking both those managed acutely in hospital and those in nonacute outpatient or community settings together, 57% (95% confidence interval [CI]: 49%–64%) of patients were treated with angiotensin-converting enzyme inhibitors, 34% (95% CI: 28%–41%) with beta-blockers, and 32% (95% CI: 25%–39%) with mineralocorticoid receptor antagonists. Mean inpatient stay was 10 d, ranging from 3 d in India to 23 d in China. Acute heart failure accounted for 2.2% (range: 0.3%–7.7%) of total hospital admissions, and mean in-hospitalmortalitywas 8% (95% CI: 6%–10%). There was substantial variation between studies (p,0.001 across all variables), and most data were from urban tertiary referral centres. Only one population-based study assessing incidence and/or prevalence of heart failure was identified.||Conclusions: The presentation, underlying causes, management, and outcomes of heart failure vary substantially across LMICs. On average, the use of evidence-based medications tends to be suboptimal. Better strategies for heart failure surveillance and management in LMICs are needed.",PLoS Medicine,2014,10.1371/journal.pmed.1001699,1549-1676,,en,Journal Article,11,8,e1001699,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4130667/
+,123456789/703||123456789/724,Design Synthesis and Cytotoxicity Evaluation of Novel Open-Chain Analogues of Antimycin A3 as Potential Anti-Colorectal Cancer Agents,"Arsianti, Ade||Fadilah, Fadilah||Kusmardi, Kusmardi||Tanimoto, Hiroki||Kakiuchi, Kiyomi ","Objective: Colorectal cancer is the third most common diagnosed cancer in the world. The aim of this work was to design, to synthesize, and to evaluate the novel open-chain analogues of antimycin A3 as highly potent anti-colorectal cancer agents.||Methods: Our analogue synthesis was designed by modifying the nine-membered dilactone moiety of antimycin A3 with a simple open-chain moiety, as well as introducing the stereocenter, and the hydroxyl groups on the side chain of the ester group. The synthesis was conducted through a sequence of reactions from Boc-L-threonine by esterification, amidation, and sharpless asymmetric dihydroxylation. After completion the synthesis, cytotoxicities of the analogues were evaluated as inhibitors of colorectal HCT-116 cells by 3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide cell proliferation assay.||Results: Novel open-chain analogues of antimycin A3 were successfully synthesized in a good yield. The analogues exhibited a greater anticancer activity against colorectal HCT-116 cells than the original antimycin A3 with 50% inhibitory concentrations ranging of 35.0-47.0 μM. The results indicated that the presence of stereocenter and a hydroxylated open-chain moiety in the analogues were successfully improved its anti-colorectal cancer activity.||Conclusion: Our results clearly demonstrate that the opened-chain analogues of antimycin A3 as a promising candidates of new anti-colorectal cancer agents.",Asian Journal of Pharmaceutical and Clinical Research,2015,,0974-2441,Design||Synthesis||Open-Chain||Analogue||Antimycin A3||Anti-Colorectal Cancer,en,Journal Article,8,6,120-124,https://pdfs.semanticscholar.org/f587/530e1cdbf2035c67fc652a4f906139190b88.pdf?_ga=2.147955255.1853306354.1560304497-1438260571.1559016593
+,123456789/709||123456789/691||123456789/703,Anti Hepatitis C Virus Activity of a Crude Extract from Longan (Dimocarpus Longan Lour) Leaves,"Apriyanto, Dadan Ramadhan||Arsianti, Ade||Louisa, Melva||Sudiro, Tjahjani Mirawati||Dewi, Beti Ernawati||Sudarmono, Pratiwi||Soebandrio, Amin||Aoki, Chie||Hartati, Sri||Hanafi, Muhammad||Kardono, Leonardus Broto Sugeng||Hotta, Hak","Hepatitis C is a disease caused by hepatitis C virus (HCV) that causes chronic infection, cirrhosis, and hepatocellular carcinoma. The current standard therapy is a combination of pegylated interferon-α plus ribavirin with NS3 protease inhibitors. Addition of NS3 protease inhibitors increases response rates; however, this addition is associated with significant side effects and an increase in the overall cost of the treatment. Therefore, there remains a need to develop safe and inexpensive drugs for the treatment of HCV infections. In this study, we examined the antiviral activity of a crude extract from Dimocarpuslongan leaves against HCV (genotype 2a strain JFH1). The D. longan crude extract exhibited anti-HCV activity with a 50% effective concentration (EC50) of 19.4 μg/ml without cytotoxicity. A time-of-addition study demonstrated that the crude extract exerts anti-HCV activity at both the entry and post-entry steps. The crude extract markedly blocked viral entry step through a direct virucidal effect with a marginal inhibition of virion assembly. The co-treatment of the crude extract with cyclosporine A or telaprevir, an NS3 protease inhibitor, had additive and synergistic antiviral effects, respectively. Our findings suggest that the D. longan crude extract may be a candidate of the add-on therapy for HCV infection.",Japanese Journal of Infectious Diseases,2016,10.7883/yoken.JJID.2015.10,1344-6304,Hepatitis C Virus||Antiviral||Crude Extract of Dimocarpus Longan Leaves,en,Journal Article,69,3,213-220,https://www.jstage.jst.go.jp/article/yoken/69/3/69_JJID.2015.107/_article
